id,created_stamp,created_tx_stamp,description,has_table,last_updated_stamp,last_updated_tx_stamp,parent_type_id,status_type_id
100,11/29/2010 12:48,11/29/2010 12:48,ACTIVE_PASSIVE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Activepassive_status
101,11/29/2010 12:48,11/29/2010 12:48,DRIVE_STATUS_TYPE,n,9/3/2019 18:15,9/3/2019 18:14,NULL,Drive_status_type
102,11/29/2010 12:48,11/29/2010 12:48,PB_STATIC_STATUS,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_STATIC_STATUS
103,11/29/2010 12:48,11/29/2010 12:48,CB_INTERNAL_EXTERNAL,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_INTERNAL_EXTERNAL
104,11/29/2010 12:48,11/29/2010 12:48,CB_NATURE_OF_CLOSURE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_NATURE_OF_CLOSURE
105,11/29/2010 12:48,11/29/2010 12:48,CB_RELAY_INDICATOR,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_RELAY_INDICATOR
106,11/29/2010 12:48,11/29/2010 12:48,PB_JURISDICTION_TYPE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_JURISDICTION_TYPE
107,11/29/2010 12:48,11/29/2010 12:48,PB_TYPE_OF_OPERATION,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_TYPE_OF_OPERATION
108,11/29/2010 12:48,11/29/2010 12:48,PB_PURPOSE_TYPE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_PURPOSE_TYPE
109,11/29/2010 12:48,11/29/2010 12:48,PB_REQUIRED_DEPT,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_REQUIRED_DEPT
110,11/29/2010 12:48,11/29/2010 12:48,PB_TYPE_OF_BLOCK,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_TYPE_OF_BLOCK
111,11/29/2010 12:48,11/29/2010 12:48,GAUGE_TYPE_LIST,N,9/3/2019 18:15,9/3/2019 18:14,NULL,GAUGE_TYPE_LIST
112,11/29/2010 12:48,11/29/2010 12:48,PB_OPERATION_TYPE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_OPERATION_TYPE
113,11/29/2010 12:48,11/29/2010 12:48,GUIDANCE_FROM,N,9/3/2019 18:15,9/3/2019 18:14,NULL,GUIDANCE_FROM
114,11/29/2010 12:48,11/29/2010 12:48,WORK_EXEC_AGENCY,N,9/3/2019 18:15,9/3/2019 18:14,NULL,ELECTRIFICATION_EXEC_AGENCY
115,11/29/2010 12:48,11/29/2010 12:48,DOUBLE_TRIPLE_ELEC_ETC,N,9/3/2019 18:15,9/3/2019 18:14,NULL,DOUBLE_TRIPLE_ETC_ELEC
118,11/29/2010 12:48,11/29/2010 12:48,UUO_ACTIVITY,N,9/3/2019 18:15,9/3/2019 18:14,NULL,UUO_ACTIVITY
 ,11/29/2010 12:48,11/29/2010 12:48,FP_SEVERITY_TYPE,N,NULL,NULL,NULL,FP_SEVERITY_TYPE
